Term,Synonym,UG/GR,Section Number,Subject,Course #,Section #,Crs Level,Course Type,Reg Restrictions,Bldg,Room,Section Title,Faculty Name (LFM),Faculty Name 2 (LFM),Sec Start Date,Meeting Start Date,Sec End Date,Meeting End Date,Start Time,End Time,Days,Sec Num Of Weeks ,Min Cred,Max Cred,Capacity,Enr Count,Wait,Depts,Divisions,College,Faculty Last Name,Faculty First Name,Instr Method,Sun,Mon,Tue,Wed,Thu,Fri,Sat,SEC.XLIST,SEC.FEE,Primary Section ,SEC.COMMENTS,SEC.PRINTED.COMMENTS,Academic Year,Term Sort No,Only Pass/NoPass,Allow Pass/NoPass,Bldg,Room,Start Date,End Date,Start Time,Start Time 24hr,End Time,End Time 24hr
2023SP,1539,GR,FMLE-5033-91,FMLE,5033,91,5,INT,LEVEL,,*,Family Resource Management,,,1/8/2023,1/8/2023,4/27/2023,4/27/2023,,,,16,3,0,0,0,,BASS,EBASS,HBIBL (College of Humanities and Bible),,,WEB,,,,,,,,,0,FMLE-5033-91,,,2022,3,N,Y,,,1/8/2023,4/27/2023,,,,
2023SP,3387,UG,HONR-2123-02,HONR,2123,2,2,HONOR,LEVEL,LC,LC*237,"Quest for ID:Race,Cls,Gender",,,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 3:40 PM, 4:55 PM,MW,16,3,0,20,0,,INTD,LLC,HBIBL (College of Humanities and Bible),,,LEC,,Y,,Y,,,,,0,HONR-2123-02,,,2022,3,N,N,LC,237,1/8/2023,4/27/2023, 3:40 PM,15:40:00, 4:55 PM,16:55:00
2023SP,554,UG,HONR-4803-01,HONR,4803,1,4,STND,LEVEL,,*,Honors Special Topics,,,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 12:40 PM, 1:30 PM,MWF,16,3,0,24,0,,INTD,LLC,HBIBL (College of Humanities and Bible),,,LEC,,Y,,Y,,Y,,,0,HONR-4803-01,,,2022,3,N,N,,,1/8/2023,4/27/2023, 12:40 PM,12:40:00, 1:30 PM,13:30:00
2023SP,1617,UG,ENGL-0123-01,ENGL,123,1,0,REMED,LEVEL,LC,LC*258,Metacognitive Writing Strategi,,,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 2:40 PM, 3:55 PM,MWF,16,3,0,20,0,,LALT,LLC,HBIBL (College of Humanities and Bible),,,LEC,,Y,,Y,,Y,,,0,ENGL-0123-01,,,2022,3,Y,Y,LC,258,1/8/2023,4/27/2023, 2:40 PM,14:40:00, 3:55 PM,15:55:00
2023SP,1690,UG,CMIN-4411-01,CMIN,4411,1,3,,LEVEL,,,Rec for the Disabled Child,,,1/8/2023,,4/27/2023,,,,,16,1,0,0,0,,BIBLE,BIBLE,HBIBL (College of Humanities and Bible),,,LEC,,,,,,,,,0,CMIN-4411-01,,,2022,3,N,Y,,,,,,,,
2023SP,8744,UG,CMSC-4663-01,CMSC,4663,1,4,STND,"LEVEL, SECOKENR",PEC,PEC*231,Network Forensics,"Ackerman, Preston Scott",,1/8/2023,1/8/2023,3/3/2023,3/3/2023, 6:00 PM, 9:30 PM,T,8,3,0,20,0,,CSIS,ENGCS,PROF (College Professional Studies),Ackerman,Preston,LEC,,,Y,,,,,2501,0,CMSC-5663-01,,,2022,3,N,N,PEC,231,1/8/2023,3/3/2023, 6:00 PM,18:00:00, 9:30 PM,21:30:00
2023SP,8777,UG,CMSC-4663L-01,CMSC,4663L,1,4,STND,"LEVEL, SECOKENR",PEC,PEC*231,Network Forensics Lab,"Ackerman, Preston Scott",,1/8/2023,1/8/2023,3/3/2023,3/3/2023, 9:30 PM, 11:30 PM,T,8,0,0,20,0,,MATH,ENGCS,PROF (College Professional Studies),Ackerman,Preston,LAB,,,Y,,,,,2502,0,CMSC-5663L-01,,,2022,3,N,N,PEC,231,1/8/2023,3/3/2023, 9:30 PM,21:30:00, 11:30 PM,23:30:00
2023SP,8745,GR,CMSC-5663-01,CMSC,5663,1,5,STND,LEVEL,PEC,PEC*231,Network Forensics,"Ackerman, Preston Scott",,1/8/2023,1/8/2023,3/3/2023,3/3/2023, 6:00 PM, 9:30 PM,T,8,3,0,20,0,,CSIS,ENGCS,PROF (College Professional Studies),Ackerman,Preston,LEC,,,Y,,,,,2501,0,CMSC-5663-01,,,2022,3,N,N,PEC,231,1/8/2023,3/3/2023, 6:00 PM,18:00:00, 9:30 PM,21:30:00
2023SP,9311,GR,CMSC-5663L-01,CMSC,5663L,1,5,STND,LEVEL,PEC,PEC*231,Network Forensics Lab,"Ackerman, Preston Scott",,1/8/2023,1/8/2023,3/3/2023,3/3/2023, 9:30 PM, 11:30 PM,T,8,0,0,15,0,,CSIS,ENGCS,PROF (College Professional Studies),Ackerman,Preston,LAB,,,Y,,,,,2502,0,CMSC-5663L-01,,,2022,3,N,N,PEC,231,1/8/2023,3/3/2023, 9:30 PM,21:30:00, 11:30 PM,23:30:00
2023SP,7720,UG,CHEM-1104-01,CHEM,1104,1,1,STND,"LEVEL, SECOKENR",HSH,HSH*207,Intro to Chemistry,"Adee, Samantha Leigh","Adee, Samantha Leigh",1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 9:30 AM,  11:40 AM"," 10:45 AM,  2:30 PM",W FTH,16,4,0,24,0,,PHYSC,NHSCI,PROF (College Professional Studies),Adee,Samantha,"LEC, LAB",", ",", ",", ","Y, ",", Y","Y, ",", ",,0,CHEM-1104-01,,,2022,3,N,N,"HSH, VH","207, 205","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 9:30 AM,  11:40 AM","09:30:00, 11:40:00"," 10:45 AM,  2:30 PM","10:45:00, 14:30:00"
2023SP,7837,UG,CHEM-3124-01,CHEM,3124,1,3,STND,"LEVEL, SECOKENR",PEC,PEC*228,Organic Chemistry II,"Adee, Samantha Leigh",,1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 10:00 AM,  8:00 AM"," 10:50 AM,  10:50 AM",M W FT,16,4,0,14,0,,PHYSC,NHSCI,PROF (College Professional Studies),Adee,Samantha,"LEC, LAB",", ","Y, ",", Y","Y, ",", ","Y, ",", ",,0,CHEM-3124-01,,,2022,3,N,N,"PEC, VH","228, 205","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 10:00 AM,  8:00 AM","10:00:00, 08:00:00"," 10:50 AM,  10:50 AM","10:50:00, 10:50:00"
2023SP,3492,UG,CHEM-3124-02,CHEM,3124,2,3,STND,"LEVEL, SECOKENR",PEC,PEC*228,Organic Chemistry II,"Adee, Samantha Leigh",,1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 10:00 AM,  11:40 AM"," 10:50 AM,  2:30 PM",M W FT,16,4,0,14,0,,PHYSC,NHSCI,PROF (College Professional Studies),Adee,Samantha,"LEC, LAB",", ","Y, ",", Y","Y, ",", ","Y, ",", ",,0,CHEM-3124-02,**CLASSMERGE:CHEM-3124-01,,2022,3,N,N,"PEC, VH","228, 205","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 10:00 AM,  11:40 AM","10:00:00, 11:40:00"," 10:50 AM,  2:30 PM","10:50:00, 14:30:00"
2023SP,5550,UG,ENGL-1213-04,ENGL,1213,4,1,STND,"LEVEL, SECOKENR",LC,LC*247,English Comp II,"Agan, Cami Dee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 1:40 PM, 2:25 PM,MWF,16,3,0,25,0,,LALT,LLC,HBIBL (College of Humanities and Bible),Agan,Cami,LEC,,Y,,Y,,Y,,,0,ENGL-1213-04,,,2022,3,N,N,LC,247,1/8/2023,4/27/2023, 1:40 PM,13:40:00, 2:25 PM,14:25:00
2023SP,,UG,ENGL-2213-02,ENGL,2213,2,2,"STND, GENED","LEVEL, SECOKENR",LC,LC*247,Perspectives in Literature,"Agan, Cami Dee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 11:40 AM, 12:55 PM,TTH,16,3,0,25,0,,LALT,LLC,HBIBL (College of Humanities and Bible),Agan,Cami,LEC,,,Y,,Y,,,,0,ENGL-2213-02,,,2022,3,N,N,LC,247,1/8/2023,4/27/2023, 11:40 AM,11:40:00, 12:55 PM,12:55:00
2023SP,3288,UG,ENGL-3353-01,ENGL,3353,1,3,STND,"LEVEL, SECOKENR",LC,LC*248,En Lit Survey III 1780 to Pr,"Agan, Cami Dee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 2:40 PM, 3:55 PM,TTH,16,3,0,12,0,,LALT,LLC,HBIBL (College of Humanities and Bible),Agan,Cami,LEC,,,Y,,Y,,,,0,ENGL-3353-01,,,2022,3,N,N,LC,248,1/8/2023,4/27/2023, 2:40 PM,14:40:00, 3:55 PM,15:55:00
2023SP,3292,UG,ENGL-4213-01,ENGL,4213,1,4,STND,"LEVEL, SECOKENR",LC,LC*247,Studies in Shakespeare,"Agan, Cami Dee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 2:40 PM, 3:55 PM,MW,16,3,0,25,0,,LALT,LLC,HBIBL (College of Humanities and Bible),Agan,Cami,LEC,,Y,,Y,,,,,0,ENGL-4213-01,,,2022,3,N,N,LC,247,1/8/2023,4/27/2023, 2:40 PM,14:40:00, 3:55 PM,15:55:00
2023SP,5510,UG,BIOL-1215-01,BIOL,1215,1,1,STND,"LEVEL, SECOKENR",PEC,PEC*229,"Gen Bio II: Div, Physio, Eco","Alcon, Sara N","Dilley, Joshua Tyler",1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 8:00 AM,  8:00 AM"," 9:20 AM,  10:50 AM",M W FT,16,5,0,20,0,,BIOS,NHSCI,PROF (College Professional Studies),Alcon,Sara,"LEC, LAB",", ","Y, ",", Y","Y, ",", ","Y, ",", ",,0,BIOL-1215-01,,,2022,3,N,N,"PEC, HSH","229, 103","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 8:00 AM,  8:00 AM","08:00:00, 08:00:00"," 9:20 AM,  10:50 AM","09:20:00, 10:50:00"
2023SP,5511,UG,BIOL-1215-02,BIOL,1215,2,1,STND,"LEVEL, SECOKENR",PEC,PEC*229,"Gen Bio II: Div, Physio, Eco","Alcon, Sara N","Dilley, Joshua Tyler",1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 8:00 AM,  11:40 AM"," 9:20 AM,  2:30 PM",M W FT,16,5,0,20,0,,BIOS,NHSCI,PROF (College Professional Studies),Alcon,Sara,"LEC, LAB",", ","Y, ",", Y","Y, ",", ","Y, ",", ",,0,BIOL-1215-02,**CLASSMERGE:BIOL-1215-01,,2022,3,N,N,"PEC, HSH","229, 103","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 8:00 AM,  11:40 AM","08:00:00, 11:40:00"," 9:20 AM,  2:30 PM","09:20:00, 14:30:00"
2023SP,8670,UG,BIOL-3223-01,BIOL,3223,1,3,STND,"LEVEL, SECOKENR",NSW,NSW*111,General Embryology,"Alcon, Sara N",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 9:00 AM, 9:50 AM,MWF,16,3,0,24,0,,BIOS,NHSCI,PROF (College Professional Studies),Alcon,Sara,LEC,,Y,,Y,,Y,,,0,BIOL-3223-01,,,2022,3,N,N,NSW,111,1/8/2023,4/27/2023, 9:00 AM,9:00:00, 9:50 AM,9:50:00
2023SP,2119,UG,BIOL-3224-01,BIOL,3224,1,3,STND,"LEVEL, SECOKENR",NSW,NSW*204,Human Physiology,"Alcon, Sara N","Alcon, Sara N",1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 8:00 AM,  8:00 AM"," 8:50 AM,  10:50 AM",M W FTH,16,4,0,17,0,,BIOS,NHSCI,PROF (College Professional Studies),Alcon,Sara,"LEC, LAB",", ","Y, ",", ","Y, ",", Y","Y, ",", ",,0,BIOL-3224-01,,,2022,3,N,N,"NSW, NSW","204, 110","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 8:00 AM,  8:00 AM","08:00:00, 08:00:00"," 8:50 AM,  10:50 AM","08:50:00, 10:50:00"
2023SP,6386,UG,BIOL-3224-02,BIOL,3224,2,3,STND,"LEVEL, SECOKENR",NSW,NSW*204,Human Physiology,"Alcon, Sara N","Alcon, Sara N",1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 8:00 AM,  11:40 AM"," 8:50 AM,  2:30 PM",M W FTH,16,4,0,16,0,,BIOS,NHSCI,PROF (College Professional Studies),Alcon,Sara,"LEC, LAB",", ","Y, ",", ","Y, ",", Y","Y, ",", ",,0,BIOL-3224-02,**CLASSMERGE:BIOL-3224-01,,2022,3,N,N,"NSW, NSW","204, 110","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 8:00 AM,  11:40 AM","08:00:00, 11:40:00"," 8:50 AM,  2:30 PM","08:50:00, 14:30:00"
2023SP,7717,UG,GNSC-2711-01,GNSC,2711,1,2,,"LEVEL, SCIENGIN, SECOKENR",DAH,DAH*AUD,Sophomore Science Seminar,"Alcon, Sara N",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 12:40 PM, 1:30 PM,MWF,16,1,0,34,0,,PHYSC,NHSCI,PROF (College Professional Studies),Alcon,Sara,LEC,,Y,,Y,,Y,,,0,GNSC-2711-01,,,2022,3,N,N,DAH,AUD,1/8/2023,4/27/2023, 12:40 PM,12:40:00, 1:30 PM,13:30:00
2023SP,7842,UG,GNSC-4712-01,GNSC,4712,1,4,STND,"LEVEL, SECOKENR",DAH,DAH*AUD,Senior Science Seminar,"Alcon, Sara N",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 12:40 PM, 1:30 PM,MWF,16,2,0,16,0,,PHYSC,NHSCI,PROF (College Professional Studies),Alcon,Sara,LEC,,Y,,Y,,Y,,,0,GNSC-4712-01,,,2022,3,N,N,DAH,AUD,1/8/2023,4/27/2023, 12:40 PM,12:40:00, 1:30 PM,13:30:00
2023SP,3146,UG,MUSC-1451-01,MUSC,1451,1,1,STND,"LEVEL, SECOKENR",GC,GC*JUDD,Chamber Orchestra,"Alexander, Gena Marie",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 4:10 PM, 5:25 PM,TTH,16,1,0,0,0,,MUSIC,FPART,HBIBL (College of Humanities and Bible),Alexander,Gena,LEC,,,Y,,Y,,,,0,MUSC-1451-01,by permission only,by Permission Only,2022,3,N,N,GC,JUDD,1/8/2023,4/27/2023, 4:10 PM,16:10:00, 5:25 PM,17:25:00
2023SP,9892,UG,GNSC-2133-91,GNSC,2133,91,1,"INT, GENED, COREU","LEVEL, SECOKENR",,*,General Physical Science,"Austin, Christopher Lee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023,,,,16,3,0,30,0,,PHYSC,NHSCI,PROF (College Professional Studies),Austin,Christopher,WEB,,,,,,,,,0,GNSC-2133-91,,,2022,3,N,N,,,1/8/2023,4/27/2023,,,,
2023SP,7714,UG,GNSC-2313-91,GNSC,2313,91,2,INT,"LEVEL, SECOKENR",,*,Earth Science,"Austin, Christopher Lee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023,,,,16,3,0,28,0,,PHYSC,NHSCI,PROF (College Professional Studies),Austin,Christopher,WEB,,,,,,,,,0,GNSC-2313-91,,,2022,3,N,N,,,1/8/2023,4/27/2023,,,,
2023SP,,UG,PHYS-2614-01,PHYS,2614,1,2,STND,"LEVEL, SECOKENR",NSW,NSW*111,Physics II,"Austin, Christopher Lee","Austin, Christopher Lee",1/8/2023,"2023-01-08, 2023-01-08",4/27/2023,"2023-04-27, 2023-04-27"," 8:00 AM,  2:40 PM"," 8:50 AM,  5:30 PM",M W FM,16,4,0,16,0,,PHYSC,NHSCI,PROF (College Professional Studies),Austin,Christopher,"LEC, LAB",", ","Y, Y",", ","Y, ",", ","Y, ",", ",,0,PHYS-2614-01,,,2022,3,N,N,"NSW, PEC","111, 101","2023-01-08, 2023-01-08","2023-04-27, 2023-04-27"," 8:00 AM,  2:40 PM","08:00:00, 14:40:00"," 8:50 AM,  5:30 PM","08:50:00, 17:30:00"
2023SP,1512,UG,GNSC-2323-91,GNSC,2323,91,2,"GENED, COREU, T2, INT",LEVEL,,*,Astronomy I,"Austin, Christopher Lee",,3/6/2023,3/6/2023,4/27/2023,4/27/2023,,,,8,3,0,30,0,,PHYSC,NHSCI,PROF (College Professional Studies),Austin,Christopher,WEB,,,,,,,,,0,GNSC-2323-91,,,2022,3,N,N,,,3/6/2023,4/27/2023,,,,
2023SP,1502,UG,BIBL-1103-08,BIBL,1103,8,1,"STND, GENED","FRESH, LEVEL",WBC,WBC*127,Story: Intro to Christian Worl,"Baird, James O",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 9:30 AM, 10:45 AM,TTH,16,3,0,40,0,,BIBLE,BIBLE,HBIBL (College of Humanities and Bible),Baird,James,LEC,,,Y,,Y,,,,0,BIBL-1103-08,,,2022,3,N,N,WBC,127,1/8/2023,4/27/2023, 9:30 AM,9:30:00, 10:45 AM,10:45:00
2023SP,9269,UG,HONR-1224-02,HONR,1224,2,1,HONOR,LEVEL,WBC,WBC*123,"The Bible, Science & Hum Vl","Baird, James O","Nichols, Amanda Jayne",1/8/2023,1/8/2023,4/27/2023,4/27/2023, 11:40 AM, 12:30 PM,MWF,16,4,0,24,0,,INTD,LLC,HBIBL (College of Humanities and Bible),Baird,James,LEC,,Y,,Y,,Y,,,0,HONR-1224-02,,,2022,3,N,N,WBC,123,1/8/2023,4/27/2023, 11:40 AM,11:40:00, 12:30 PM,12:30:00
2023SP,1605,GR,CLTR-5013-01,CLTR,5013,1,5,STND,LEVEL,,*,Secularization and Christianit,"Baird, James O",,3/6/2023,1/8/2023,4/27/2023,4/27/2023,,,,8,3,0,25,0,,BIBLE,BIBLE,HBIBL (College of Humanities and Bible),Baird,James,WEB,,,,,,,,,0,CLTR-5013-01,,,2022,3,N,Y,,,1/8/2023,4/27/2023,,,,
2023SP,1683,UG,THEO-4813-01,THEO,4813,1,4,STND,LEVEL,WBC,WBC*126,Ss: Philosophy for Faith,"Baird, James O",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 1:40 PM, 2:55 PM,TTH,16,3,0,25,0,,BIBLE,BIBLE,HBIBL (College of Humanities and Bible),Baird,James,LEC,,,Y,,Y,,,,0,THEO-4813-01,,,2022,3,N,N,WBC,126,1/8/2023,4/27/2023, 1:40 PM,13:40:00, 2:55 PM,14:55:00
2023SP,9864,GR,MKTG-5703-93,MKTG,5703,93,5,INT,LEVEL,,*,Marketing Management,"Barrera, Martha Alexandra","Simmons, Jeffery Alan",3/6/2023,3/6/2023,4/27/2023,4/27/2023,,,,8,3,0,25,0,,BUSI,BUSI,PROF (College Professional Studies),Barrera,Martha,WEB,,,,,,,,,0,MKTG-5703-93,,,2022,3,N,N,,,3/6/2023,4/27/2023,,,,
2023SP,1500,UG,BIBL-1103-06,BIBL,1103,6,1,"STND, GENED","FRESH, LEVEL",WBC,WBC*127,Story: Intro to Christian Worl,"Bass, Alden Lee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 9:00 AM, 9:50 AM,MWF,16,3,0,15,0,,BIBLE,BIBLE,HBIBL (College of Humanities and Bible),Bass,Alden,LEC,,Y,,Y,,Y,,,0,BIBL-1103-06,,,2022,3,N,N,WBC,127,1/8/2023,4/27/2023, 9:00 AM,9:00:00, 9:50 AM,9:50:00
2023SP,1688,UG,BIBL-4833-01,BIBL,4833,1,4,STND,LEVEL,WBC,WBC*127,SS: Life and Writings of Paul,"Bass, Alden Lee",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 1:40 PM, 2:30 PM,MWF,16,3,0,25,0,,BIBLE,BIBLE,HBIBL (College of Humanities and Bible),Bass,Alden,LEC,,Y,,Y,,Y,,,0,BIBL-4833-01,,,2022,3,N,N,WBC,127,1/8/2023,4/27/2023, 1:40 PM,13:40:00, 2:30 PM,14:30:00
2023SP,74,UG,MATH-1614-26,MATH,1614,26,1,"CC, GENED, COREU, NP","LEVEL, SECOKENR, CNCUR",,*,Pre-Calculus Math,"Bates, Olivia","Knowles, Sada Ji",1/8/2023,1/8/2023,4/27/2023,4/27/2023,,,,16,4,0,0,0,,MATH,ENGCS,PROF (College Professional Studies),Bates,Olivia,LEC,,,,,,,,,0,MATH-1614-26,,,2022,3,N,N,,,1/8/2023,4/27/2023,,,,
2023SP,7481,UG,ARTS-3543-01,ARTS,3543,1,3,STND,LEVEL,GC,GC*145,Historical Interior Design II,"Beauchamp, Amy Michelle",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 3:00 PM, 4:15 PM,MW,16,3,0,28,0,,ARDS,FPART,HBIBL (College of Humanities and Bible),Beauchamp,Amy,LEC,,Y,,Y,,,,,0,ARTS-3543-01,,,2022,3,N,N,GC,145,1/8/2023,4/27/2023, 3:00 PM,15:00:00, 4:15 PM,16:15:00
2023SP,3734,UG,ARTS-3613-01,ARTS,3613,1,3,STND,LEVEL,GC,GC*145,Interior Systems,"Beauchamp, Amy Michelle",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 12:40 PM, 2:55 PM,MW,16,3,0,15,0,,ARDS,FPART,HBIBL (College of Humanities and Bible),Beauchamp,Amy,LEC,,Y,,Y,,,,,0,ARTS-3613-01,,,2022,3,N,N,GC,145,1/8/2023,4/27/2023, 12:40 PM,12:40:00, 2:55 PM,14:55:00
2023SP,3423,UG,ARTS-4613-01,ARTS,4613,1,4,STND,LEVEL,GC,GC*142,Int Des Prof Pract/Portfolio,"Beauchamp, Amy Michelle",,1/8/2023,1/8/2023,4/27/2023,4/27/2023, 8:30 AM, 10:45 AM,MW,16,3,0,0,0,,ARDS,FPART,HBIBL (College of Humanities and Bible),Beauchamp,Amy,LEC,,Y,,Y,,,,,0,ARTS-4613-01,,,2022,3,N,N,GC,142,1/8/2023,4/27/2023, 8:30 AM,8:30:00, 10:45 AM,10:45:00
2023SP,3427,UG,ARTS-4821-01,ARTS,4821,1,4,STND,LEVEL,TBA,TBA*TBA,Interior Design Internship,"Beauchamp, Amy Michelle",,1/8/2023,1/8/2023,4/27/2023,4/27/2023,,,,16,1,0,0,0,,ARDS,FPART,HBIBL (College of Humanities and Bible),Beauchamp,Amy,INT,,,,,,,,,0,ARTS-4821-01,,,2022,3,N,N,TBA,TBA,1/8/2023,4/27/2023,,,,
